iter	Passed	Remaining
407	5641	8185
408	5657	8174
409	5669	8158
410	5683	8145
411	5697	8132
412	5712	8118
413	5724	8102
414	5737	8087
415	5749	8071
416	5762	8056
417	5776	8043
418	5789	8028
419	5804	8015
420	5818	8001
421	5832	7988
422	5845	7974
423	5859	7960
424	5872	7945
425	5885	7929
426	5900	7917
427	5913	7902
428	5927	7889
429	5942	7876
430	5955	7861
431	5968	7847
432	5981	7832
433	5994	7817
434	6008	7804
435	6021	7789
436	6035	7775
437	6048	7761
438	6061	7745
439	6074	7731
440	6088	7717
441	6102	7703
442	6114	7688
443	6128	7673
444	6140	7658
445	6154	7644
446	6169	7632
447	6183	7619
448	6195	7603
449	6208	7588
450	6222	7574
451	6236	7561
452	6249	7546
453	6263	7533
454	6278	7520
455	6290	7504
456	6303	7490
457	6316	7475
458	6329	7460
459	6342	7445
460	6354	7429
461	6367	7415
462	6381	7401
463	6392	7384
464	6408	7373
465	6421	7358
466	6435	7344
467	6447	7329
468	6460	7314
469	6472	7298
470	6486	7285
471	6498	7269
472	6511	7254
473	6525	7240
474	6538	7226
475	6551	7212
476	6564	7197
477	6578	7183
478	6591	7169
479	6605	7155
480	6618	7141
481	6632	7127
482	6644	7111
483	6658	7098
484	6673	7086
485	6687	7073
486	6700	7058
487	6714	7044
488	6727	7030
489	6741	7016
490	6754	7002
491	6767	6987
492	6781	6973
493	6795	6960
494	6809	6947
495	6823	6933
496	6835	6918
497	6849	6904
498	6862	6890
499	6876	6876
500	6890	6863
501	6905	6850
502	6919	6836
503	6932	6822
504	6945	6808
505	6958	6793
506	6973	6780
507	6987	6767
508	7000	6752
509	7015	6740
510	7027	6724
511	7041	6711
512	7055	6698
513	7068	6683
514	7083	6670
515	7096	6656
516	7111	6644
517	7124	6629
518	7137	6615
519	7151	6601
520	7165	6587
521	7179	6574
522	7190	6558
523	7203	6543
524	7217	6529
525	7229	6515
526	7242	6500
527	7256	6487
528	7271	6474
529	7285	6460
530	7297	6445
531	7311	6431
532	7323	6417
533	7337	6403
534	7349	6388
535	7362	6373
536	7374	6358
537	7387	6344
538	7402	6331
539	7415	6316
540	7426	6301
541	7438	6285
542	7451	6271
543	7463	6256
544	7477	6242
545	7490	6228
546	7502	6213
547	7514	6197
548	7528	6184
549	7542	6170
550	7555	6156
551	7568	6142
552	7580	6127
553	7595	6114
554	7611	6102
555	7623	6087
556	7635	6072
557	7648	6058
558	7661	6044
559	7675	6030
560	7688	6016
561	7700	6001
562	7714	5987
563	7726	5972
564	7739	5958
565	7751	5943
566	7766	5930
567	7779	5916
568	7791	5901
569	7804	5887
570	7817	5873
571	7830	5859
572	7842	5844
573	7856	5830
574	7870	5817
575	7882	5802
576	7896	5788
577	7911	5776
578	7925	5763
579	7940	5749
580	7953	5735
581	7966	5721
582	7979	5707
583	7992	5693
584	8006	5679
585	8018	5665
586	8030	5650
587	8045	5637
588	8058	5623
589	8072	5609
590	8085	5595
591	8098	5581
592	8112	5568
593	8125	5553
594	8137	5539
595	8151	5525
596	8164	5511
597	8178	5497
598	8191	5484
599	8205	5470
600	8219	5456
601	8232	5442
602	8245	5428
603	8259	5415
604	8274	5402
605	8286	5387
606	8299	5373
607	8312	5359
608	8326	5345
609	8339	5331
610	8352	5317
611	8368	5305
612	8380	5291
613	8394	5277
614	8409	5264
615	8422	5250
616	8435	5236
617	8449	5222
618	8462	5208
619	8477	5195
620	8492	5183
621	8505	5169
622	8517	5154
623	8531	5140
624	8544	5126
625	8557	5112
626	8571	5099
627	8586	5086
628	8598	5071
629	8611	5057
630	8625	5043
631	8638	5029
632	8650	5015
633	8664	5002
634	8678	4988
635	8692	4974
636	8705	4960
637	8718	4946
638	8730	4932
639	8742	4917
640	8756	4904
641	8770	4890
642	8782	4876
643	8796	4862
644	8809	4848
645	8825	4836
646	8839	4822
647	8851	4808
648	8864	4794
649	8876	4779
650	8890	4766
651	8903	4752
652	8918	4739
653	8931	4725
654	8944	4711
655	8958	4697
656	8972	4684
657	8984	4669
658	8997	4655
659	9011	4642
660	9025	4628
661	9037	4614
662	9051	4601
663	9064	4586
664	9076	4572
665	9089	4558
666	9102	4544
667	9117	4531
668	9129	4516
669	9143	4503
670	9155	4488
671	9167	4474
672	9182	4461
673	9196	4448
674	9209	4434
675	9221	4419
676	9233	4405
677	9246	4391
678	9259	4377
679	9273	4363
680	9286	4349
681	9299	4336
682	9313	4322
683	9326	4308
684	9340	4295
685	9353	4281
686	9367	4267
687	9381	4254
688	9394	4240
689	9405	4225
690	9418	4211
691	9433	4198
692	9446	4184
693	9459	4170
694	9473	4157
695	9486	4143
696	9500	4130
697	9513	4116
698	9525	4101
699	9539	4088
700	9552	4074
701	9565	4060
702	9578	4046
703	9589	4032
704	9602	4018
705	9615	4004
706	9629	3990
707	9643	3977
708	9657	3963
709	9673	3951
710	9687	3937
711	9700	3923
712	9713	3910
713	9727	3896
714	9739	3882
715	9753	3868
716	9765	3854
717	9779	3840
718	9792	3827
719	9804	3812
720	9819	3799
